"PID","CITY","ZIPCODE","LUC","OWN_OCC","LIVING_AREA","YR_BUILT","EXT_COND","BED_RMS","FULL_BTH","VALUE_2015","VALUE_2016","VALUE_2017","VALUE_2018","VALUE_2019","VALUE_2020","VALUE_2021"
101354000,"EAST BOSTON","02128",101,"Y",896,1960,"A - Average",1,1,289400,338800,338800,372700,409900,456500,561200
101355000,"EAST BOSTON","02128",101,"Y",1690,1900,"G - Good",3,1,343700,375400,375400,413000,454300,508800,656700
101362000,"EAST BOSTON","02128",101,"Y",1335,1950,"G - Good",3,1,340100,392400,392400,431700,474900,532100,584300
101369000,"EAST BOSTON","02128",101,"Y",2604,1960,"A - Average",4,1,386300,449700,449700,494700,544200,610000,739700
101384000,"EAST BOSTON","02128",101,"Y",1412,1900,"A - Average",3,1,305200,341600,341600,375800,426700,468700,567700
101389000,"EAST BOSTON","02128",101,"Y",1985,1910,"A - Average",5,1,323100,372700,372700,409900,450900,504800,631900
101422000,"EAST BOSTON","02128",101,"Y",2416,1910,"A - Average",4,2,324900,360600,360600,397800,437600,490000,676800
101424000,"EAST BOSTON","02128",101,"Y",2167,1910,"A - Average",4,2,380900,407100,408400,449300,494200,557700,737500
101426000,"EAST BOSTON","02128",101,"Y",2017,1910,"A - Average",5,1,362400,402900,402900,443200,487500,546500,706500
101427000,"EAST BOSTON","02128",101,"Y",2441,1920,"G - Good",3,2,347300,389500,437665,566400,623100,699900,934000
101430000,"EAST BOSTON","02128",101,"Y",2393,1922,"A - Average",4,2,459300,540800,540800,594800,654300,727700,841600
101432000,"EAST BOSTON","02128",101,"Y",2034,1910,"A - Average",4,3,420300,460400,460400,506400,557100,627000,788800
101433000,"EAST BOSTON","02128",101,"Y",1985,1895,"G - Good",3,1,407000,455100,455100,500600,550700,619000,755200
101435000,"EAST BOSTON","02128",101,"Y",1918,1900,"A - Average",2,1,354700,393500,393500,397800,437600,491800,604400
101440000,"EAST BOSTON","02128",101,"Y",1380,1949,"A - Average",3,1,370300,409500,409500,450000,494900,555600,697500
101441000,"EAST BOSTON","02128",101,"Y",1617,1940,"A - Average",3,2,359700,404600,419100,461000,507100,570400,739500
101442000,"EAST BOSTON","02128",101,"Y",2296,1930,"A - Average",3,2,385800,408400,408400,478665,526581,589800,687600
101445000,"EAST BOSTON","02128",101,"N",2680,1915,"A - Average",4,1,518100,504500,504500,554900,610400,681600,805300
101462000,"EAST BOSTON","02128",101,"N",1969,1940,"A - Average",3,1,419800,448900,448900,556500,612100,685300,772700
101467000,"EAST BOSTON","02128",101,"Y",1296,1933,"A - Average",2,1,252800,298500,298500,328300,361200,407000,526000
